College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,36,169,F,OU,BC_B,BC_B_GIRLS_OU
BVRI,"B V RAJU INSTITUTE OF TECHNOLOGY, NARSAPUR",CIV,37,171,M,OU,BC_B,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,59,174,F,OU,BC_D,BC_D_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,60,175,M,OU,BC_D,BC_D_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,62,177,M,OU,ST,ST_GEN_OU
MVSR,"M V S R ENGINEERING COLLEGE (AUTONOMOUS), NADERGUL",CIV,38,178,M,OU,BC_B,BC_B_GEN_OU
MGIT,"MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS), GANDIPET",CIV,39,179,F,OU,BC_B,BC_B_GIRLS_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",CIV,40,180,M,OU,BC_D,BC_D_GEN_OU
MVSR,"M V S R ENGINEERING COLLEGE (AUTONOMOUS), NADERGUL",CIV,41,181,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",MEC,19,182,M,OU,BC_B,OC_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,49,183,F,OU,BC_B,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSM,63,184,M,OU,BC_D,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,50,185,F,OU,OC,EWS_GEN_OU
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH, MIYAPUR",ECE,51,186,M,OU,BC_D,BC_D_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CSE,64,187,F,OU,OC,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,52,188,M,OU,OC,EWS_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",EEE,7,189,M,OU,BC_B,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",EEE,8,190,F,OU,OC,OC_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MEC,20,191,M,OU,BC_D,BC_D_GEN_OU
MVSR,"M V S R ENGINEERING COLLEGE (AUTONOMOUS), NADERGUL",CIV,42,192,M,OU,BC_D,BC_D_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,65,194,F,OU,OC,EWS_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,53,195,M,OU,BC_D,OC_GEN_OU
SNIS,"SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY, GHATKESAR",CIV,43,196,M,OU,BC_B,BC_B_GEN_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",ECE,54,197,M,OU,BC_D,BC_D_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,66,198,F,OU,OC,EWS_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CSE,67,199,M,OU,OC,OC_GEN_OU
