Institute Code,Institute Name,Place,Dist. Name,Region,College,Minority,Co-,Affil.,Branch,fee,Convener Seats
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,CME,85000,7
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,CSE,85000,20
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,ECE,85000,13
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,EEE,85000,6
STLW,STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ABIDS,HYD,OU,PVT,NA,GIRLS,OU,INF,85000,14
SUUP,SULTAN UL-ULOOM COLLEGE OF PHARMACY,BANJARA HILLS,HYD,OU,PVT,MUS,COED,JNTUH,PHM,98000,10
SVES,SRI VENKATESWARA ENGINEERING COLLEGE,SURYAPETA,SRP,OU,PVT,NA,COED,JNTUH,CSE,60000,6
SVES,SRI VENKATESWARA ENGINEERING COLLEGE,SURYAPETA,SRP,OU,PVT,NA,COED,JNTUH,ECE,60000,7
SVES,SRI VENKATESWARA ENGINEERING COLLEGE,SURYAPETA,SRP,OU,PVT,NA,COED,JNTUH,EEE,60000,7
SVHU,SATAVAHANA UNIVERSITY,KARIMNAGAR,KRM,OU,UNIV,NA,COED,SVHU,PHM,10000,19
SVHUSF,SATAVAHANA UNIVERSITY - SELF FINANCE,KARIMNAGAR,KRM,OU,SF,NA,COED,SVHU,PHM,31000,8
SVIP,SWAMI VIVEKANANDA INST OF PHARM SCI,YADAGIRIGUTTA,YBG,OU,PVT,NA,COED,JNTUH,PHM,60000,7
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,AID,79350,6
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,CSC,79350,7
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,CSD,79350,13
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,CSE,79350,7
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,CSM,79350,13
SVIT,SWAMI VIVEKANANDA INST OF TECHNOLOGY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,CSO,79350,7
SVNP,SRI SHIVANI COLLEGE OF PHARM,HANAMKONDA,HNK,OU,PVT,NA,COED,KU,PHM,45000,11
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,CIV,65000,6
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,CSD,65000,7
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,CSE,65000,13
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,CSM,65000,7
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,ECE,65000,13
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,EEE,65000,13
SVSE,SVS GRP OF INSTNS - SVS INST OF TECH,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,MEC,65000,7
SVSP,SVS GRP OF INSTNS - SVS INST OF PHARMACY,HANAMKONDA,HNK,OU,PVT,NA,COED,JNTUH,PHM,55000,11
SWCP,SHADHAN WOMENS COLL OF PHARM,KHAIRATABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,PHM,50000,10
SWET,SHADHAN WOMENS COLL OF ENGG AND TECHNOLOGY,KHAIRTABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,AID,55000,6
SWET,SHADHAN WOMENS COLL OF ENGG AND TECHNOLOGY,KHAIRTABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,CSE,55000,18
SWET,SHADHAN WOMENS COLL OF ENGG AND TECHNOLOGY,KHAIRTABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,ECE,55000,6
SWET,SHADHAN WOMENS COLL OF ENGG AND TECHNOLOGY,KHAIRTABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,EEE,55000,6
SWET,SHADHAN WOMENS COLL OF ENGG AND TECHNOLOGY,KHAIRTABAD,HYD,OU,PVT,MUS,GIRLS,JNTUH,INF,55000,12
TALP,TALLA PADMAVATHI COLLEGE OF PHARMACY,WARANGAL,HNK,OU,PVT,NA,COED,KU,PHM,75000,11
TCEK,TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,AIM,65000,6
TCEK,TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,CSE,65000,7
TCEK,TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,ECE,65000,6
TCEK,TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,PEDDAPALLY,PDL,OU,PVT,NA,COED,JNTUH,EEE,65000,7
TCTK,TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,AIM,65000,6
