College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
SGRD,GOVERNMENT POLYTECHNIC,SANGA REDDY,SANGAREDDY,OU,GOV,NA,COED,SBTET,EC,5080,66
SGRD,GOVERNMENT POLYTECHNIC,SANGA REDDY,SANGAREDDY,OU,GOV,NA,COED,SBTET,EE,5080,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,AI,15780,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,CE,15780,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,CS,15780,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,EC,15780,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,EE,15780,66
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,ME,15780,66
SMCD,ST MARYS ENGINEERING COLLEGE,DESHMUKHI,YADADRI BHUVANAGIRI,OU,PVT,NA,COED,SBTET,CS,15780,90
SMCD,ST MARYS ENGINEERING COLLEGE,DESHMUKHI,YADADRI BHUVANAGIRI,OU,PVT,NA,COED,SBTET,ES,15780,60
SMED,ST.MARYS GROUP OF INSTITUTIONS,DESHMUKHI,YADADRI BHUVANAGIRI,OU,PVT,NA,COED,SBTET,CS,15780,150
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,AI,15780,132
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,CE,15780,33
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,CS,15780,198
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,EC,15780,99
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,EE,15780,33
SMSK,SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY.,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,SBTET,ME,15780,33
SRPW,GOVT POLYTECHNIC FOR WOMEN,SURYAPET,SURYAPET,OU,GOV,NA,GIRLS,SBTET,CE,5080,66
SRPW,GOVT POLYTECHNIC FOR WOMEN,SURYAPET,SURYAPET,OU,GOV,NA,GIRLS,SBTET,CS,5080,66
SRPW,GOVT POLYTECHNIC FOR WOMEN,SURYAPET,SURYAPET,OU,GOV,NA,GIRLS,SBTET,EC,5080,66
SRRS,SRRS GOVT POLYTECHNIC,SIRCILLA,RAJANNA SIRCILLA,OU,GOV,NA,COED,SBTET,CCP,5080,66
