Institute Code,Institute Name,Place,District Name,Region,College,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,70000,20
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,70000,7
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,70000,13
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,70000,6
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,70000,7
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,92000,6
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSC,92000,7
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,92000,6
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,92000,20
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,92000,13
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,92000,14
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,92000,7
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,89000,6
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSC,89000,7
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,89000,6
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,89000,27
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,89000,13
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,89000,20
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,89000,6
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,INF,89000,14
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,89000,7
BIPS,BALAJI INST OF PHARM SCI,NARSAMPET,WARANGAL,OU,PVT,NA,COED,KU,PHM,55000,11
