College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,89000,138
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,89000,139
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,89000,46
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,INF,89000,92
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,89000,47
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CIV,68000,47
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CSD,68000,92
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CSE,68000,138
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CSM,68000,93
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CSO,68000,92
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,CSW,68000,92
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,ECE,68000,139
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,EEE,68000,46
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WARANGAL,OU,PVT,NA,COED,JNTUH,MEC,68000,46
BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,PHM,52000,28
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,CIV,63000,23
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,CSE,63000,93
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,CSM,63000,46
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,ECE,63000,46
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,EEE,63000,46
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHAMMAM,OU,PVT,NA,COED,JNTUH,MEC,63000,23
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CIV,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CSD,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CSE,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CSM,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,ECE,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,EEE,95000,46
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MEC,95000,23
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MIN,95000,24
BPCP,BHASKAR PHARMACY COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHD,80000,11
BPCP,BHASKAR PHARMACY COLLEGE,YENKAPALLY,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHM,65000,39
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,CSE,75000,92
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,CSM,75000,46
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,ECE,75000,92
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYDERABAD,OU,PVT,NA,GIRLS,JNTUH,EEE,75000,47
