College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
NGMA,"NIGAMA ENGINEERING COLLEGE, MOQUDUMPOOR",EC,58163,F,OU,BC_D,BC_D_GIRLS_OU
ELEN,"ELLENKI COLLGE OF ENGG. AND TECHNOLOGY, PATANCHERU",EC,58163,M,OU,SC,SC_GIRLS_OU
VREC,"VIJAYA RURAL ENGINEERING COLLEGE, NIZAMABAD",EE,58163,M,OU,BC_D,ST_GEN_OU
SMSK,"SAMSKRUTHI COLLEGE OF ENGG. AND TECHNOLOGY., GHATKESAR",EE,58163,M,OU,SC,ST_PHV_GEN_OU
NALG,"GOVT POLYTECHNIC , NALGONDA",ME,58163,M,OU,BC_A,BC_A_GEN_OU
SDPW,"GOVERNMENT POLYTECHNIC FOR WOMEN, SIDDIPET",CE,58223,F,OU,BC_A,BC_A_GIRLS_OU
ADBP,"S.G GOVT POLYTECHNIC, ADILABAD",CE,58223,M,OU,OC,EWS_GIRLS_UR
NALG,"GOVT POLYTECHNIC , NALGONDA",CE,58223,M,OU,BC_A,BC_A_GEN_OU
WLGW,"GOVT POLYTECHNIC FOR WOMEN, WARANGAL",CE,58223,F,OU,BC_E,BC_E_GIRLS_OU
MGHA,"MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN, GHATKESAR",CS,58223,F,OU,BC_A,BC_E_GIRLS_OU
MOTK,"MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY, SATHUPALLY",CS,58223,M,OU,BC_E,BC_E_GEN_OU
SBIT,"SWARNA BHARATHI INSTITUTE OF SCI. AND TECHNOLOGY, KHAMMAM",CS,58223,M,OU,BC_A,BC_A_GIRLS_OU
BRIL,"BRILLIANT INSTT OF ENGG AND TECHNOLOGY, HAYATHNAGAR",CS,58223,M,OU,ST,ST_GEN_OU
TRRM,"TRR POLYTECHNIC , MEERPET",EC,58223,F,OU,BC_D,ST_GIRLS_OU
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG RES., HAYATHNAGAR",EC,58223,M,OU,BC_A,BC_A_GEN_OU
VGWL,"VAAGDEVI ENGINEERING COLLEGE, WARANGAL",EC,58223,M,OU,SC,SC_GEN_OU
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG RES., HAYATHNAGAR",EC,58223,M,OU,SC,SC_GEN_UR
KCEA,"KSHATRIYA COLLEGE OF ENGINEERING, ARMOOR",EE,58223,M,OU,SC,ST_GIRLS_UR
VVKN,"VIVEKANANDA INSTT OF TECH. AND SCI.  BOMMAKAL, KARIMNAGAR",EE,58223,F,OU,BC_D,BC_D_GIRLS_OU
TCEK,"TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY, PEDDAPALLY",EE,58223,M,OU,BC_B,BC_B_GEN_OU
